site;date;phase;stipe_length;stipe_circ;primary_length;primary_width;holdfast;cluster
Oilifantsbos;06/06/2017;before;534;35;27;28;N;N
Oilifantsbos;06/06/2017;before;263;26;19;17;N;N
Oilifantsbos;06/06/2017;before;510;44;20;23;N;N
Oilifantsbos;06/06/2017;before;280;39;16;17;Y;Y
Oilifantsbos;06/06/2017;before;267;32;21;17.5;Y;Y
Oilifantsbos;06/06/2017;before;310;28;21;16;N;N
Oilifantsbos;06/06/2017;before;145;8;22;3.5;Y;Y
Oilifantsbos;06/06/2017;before;375;25;17;10;Y;Y
Oilifantsbos;06/06/2017;before;418;25;22;10;N;N
Oilifantsbos;06/06/2017;before;190;25;15;9;Y;Y
Oilifantsbos;06/06/2017;before;264;17;16;10;N;N
Oilifantsbos;06/06/2017;before;540;26;22;12;Y;N
Oilifantsbos;06/06/2017;before;68;9;22;7;Y;Y
Oilifantsbos;06/06/2017;before;250;24;20;12;Y;Y
Oilifantsbos;06/06/2017;before;385;23;20;12;Y;Y
Oilifantsbos;06/06/2017;before;560;37;27;14;N;N
Oilifantsbos;06/06/2017;before;250;35;18;25;N;N
Oilifantsbos;06/06/2017;before;183;26;15;14;Y;Y
Oilifantsbos;06/06/2017;before;220;23;34;17;Y;Y
Oilifantsbos;06/06/2017;before;310;25;19;10;Y;Y
Oilifantsbos;06/06/2017;before;300;16;22;7;N;N
Oilifantsbos;06/06/2017;before;362;29;18;18;N;N
Oilifantsbos;06/06/2017;before;260;13;18;5;Y;Y
Oilifantsbos;06/06/2017;before;170;15;13;6;Y;Y
Oilifantsbos;06/06/2017;before;162;13;12;4;Y;Y
Oilifantsbos;06/06/2017;before;181;13;14;5;Y;Y
Oilifantsbos;06/06/2017;before;190;12;13;3;Y;Y
Oilifantsbos;06/06/2017;before;175;12;14;3;Y;Y
Oilifantsbos;06/06/2017;before;180;14;12;5;Y;Y
Oilifantsbos;06/06/2017;before;415;39;20;22;Y;Y
Oilifantsbos;06/06/2017;before;370;130;22;19;Y;Y
Oilifantsbos;06/06/2017;before;193;17;20;7;N;N
Oilifantsbos;06/06/2017;before;221;17;17;6;N;N
Oilifantsbos;06/06/2017;before;272;26;20;13;Y;N
Oilifantsbos;06/06/2017;before;80;20;12;7;N;N
Oilifantsbos;06/06/2017;before;170;22;16;7;Y;Y
Oilifantsbos;06/06/2017;before;172;24;16;9;Y;Y
Oilifantsbos;06/06/2017;before;164;18;17;6;Y;Y
Oilifantsbos;06/06/2017;before;218;25;21;9;N;N
Oilifantsbos;06/06/2017;before;229;8;12;4;N;N
Oilifantsbos;06/06/2017;before;98;28;15;12;N;N
Oilifantsbos;06/06/2017;before;650;22;14;11;N;N
Oilifantsbos;06/06/2017;before;220;30;21;13;N;N
Oilifantsbos;06/06/2017;before;160;20;10;5;Y;Y
Oilifantsbos;06/06/2017;before;155;18;10;6;Y;Y
Oilifantsbos;06/06/2017;before;152;98;12;8;Y;Y
Oilifantsbos;06/06/2017;before;154;16;10;5;Y;Y
Oilifantsbos;06/06/2017;before;161;17;10;4;Y;Y
Oilifantsbos;06/06/2017;before;227;6;11;4;N;N
Oilifantsbos;09/09/2017;after;875;32;20;29;N;N
Oilifantsbos;09/09/2017;after;880;22;14;14;Y;Y
Oilifantsbos;09/09/2017;after;520;24;13;9;N;N
Oilifantsbos;09/09/2017;after;620;22;22;10;N;N
Oilifantsbos;09/09/2017;after;1005;33;15;17;Y;N
Oilifantsbos;09/09/2017;after;375;14;16;6;N;N
Oilifantsbos;09/09/2017;after;220;26;21;12;N;N
Oilifantsbos;09/09/2017;after;500;23;33;13;N;N
Oilifantsbos;09/09/2017;after;300;26;13;14;N;N
Oilifantsbos;09/09/2017;after;500;19;9;10;N;N
Oilifantsbos;09/09/2017;after;635;27;19;13;Y;N
Oilifantsbos;09/09/2017;after;524;20;22;11;Y;N
Oilifantsbos;09/09/2017;after;750;20;21;14;Y;N
Oilifantsbos;09/09/2017;after;812;23;13;10;N;N
Oilifantsbos;09/09/2017;after;375;46;34;27;N;N
Oilifantsbos;09/09/2017;after;150;8;50;4;Y;N
Oilifantsbos;09/09/2017;after;148;8;46;4;Y;Y
Oilifantsbos;09/09/2017;after;875;22;22;9;N;N
Oilifantsbos;09/09/2017;after;360;9;28;5;Y;N
Oilifantsbos;09/09/2017;after;520;33;23;14;Y;N
Oilifantsbos;09/09/2017;after;525;28;20;12;N;N
Oilifantsbos;09/09/2017;after;280;34;28;40;N;N
Oilifantsbos;09/09/2017;after;542;27;21;13;Y;N
Oilifantsbos;09/09/2017;after;500;24;18;12;N;N
Oilifantsbos;09/09/2017;after;876;20;22;16;N;N
Oilifantsbos;09/09/2017;after;665;38;19;17;Y;N
Oilifantsbos;09/09/2017;after;425;26;18;16;Y;N
Oilifantsbos;09/09/2017;after;785;50;16;32;Y;N
Oilifantsbos;09/09/2017;after;400;32;21;13;N;N
Oilifantsbos;09/09/2017;after;183;8;16;3;N;N
Oilifantsbos;09/09/2017;after;390;27;24;12;N;N
Oilifantsbos;09/09/2017;after;650;44;36;28;N;N
Oilifantsbos;09/09/2017;after;790;23;22;14;Y;N
Oilifantsbos;09/09/2017;after;455;35;35;21;N;N
Oilifantsbos;09/09/2017;after;132;6;28;3;Y;N
Oilifantsbos;09/09/2017;after;600;37;26;17;Y;Y
Oilifantsbos;09/09/2017;after;625;31;16;15;Y;Y
Oilifantsbos;09/09/2017;after;375;29;22;22;N;N
Oilifantsbos;09/09/2017;after;750;39;21;19;N;N
Oilifantsbos;09/09/2017;after;860;36;22;19;Y;N
Oilifantsbos;09/09/2017;after;640;31;24;37;Y;N
Oilifantsbos;09/09/2017;after;875;15;19;19;Y;Y
Oilifantsbos;09/09/2017;after;870;13;17;7;Y;Y
Oilifantsbos;09/09/2017;after;872;13;16;7;Y;Y
Oilifantsbos;09/09/2017;after;375;24;18;15;N;N
Oilifantsbos;09/09/2017;after;250;34;34;24;N;N
Oilifantsbos;09/09/2017;after;300;8;13;3;N;N
Oilifantsbos;09/09/2017;after;146;7;51;2;N;N
Oilifantsbos;09/09/2017;after;610;11;21;7;Y;N
Oilifantsbos;09/09/2017;after;292;35;26;29;N;N
Platboom;06/06/2017;before;42;7;22;17;Y;N
Platboom;06/06/2017;before;553;13;15;8;N;N
Platboom;06/06/2017;before;160;16;14;8;Y;Y
Platboom;06/06/2017;before;214;15;15;7;Y;Y
Platboom;06/06/2017;before;160;20;15;12;Y;Y
Platboom;06/06/2017;before;110;17;11;7.5;Y;Y
Platboom;06/06/2017;before;88;19;84;18;Y;Y
Platboom;06/06/2017;before;620;29;20;18;N;N
Platboom;06/06/2017;before;230;17;13;6;Y;N
Platboom;06/06/2017;before;210;13;10;4.6;Y;Y
Platboom;06/06/2017;before;71;6;11;4;Y;Y
Platboom;06/06/2017;before;204;27;12;14.5;N;N
Platboom;06/06/2017;before;712;29;24;20;N;N
Platboom;06/06/2017;before;428;34;16;10;N;N
Platboom;06/06/2017;before;230;25;15;12;Y;Y
Platboom;06/06/2017;before;66;6;9;3;Y;Y
Platboom;06/06/2017;before;65;19;10;5;Y;Y
Platboom;06/06/2017;before;190;18;15;8;Y;Y
Platboom;06/06/2017;before;200;18;19;12;N;N
Platboom;06/06/2017;before;186;22;20;23;Y;Y
Platboom;06/06/2017;before;194;24;18;13.5;Y;Y
Platboom;06/06/2017;before;176;17;12;7;N;N
Platboom;06/06/2017;before;173;33;12;16;N;N
Platboom;06/06/2017;before;350;40;36;18;N;N
Platboom;06/06/2017;before;710;32;23;17;Y;N
Platboom;06/06/2017;before;165;22;12;16;N;N
Platboom;06/06/2017;before;241;11;8;5;N;N
Platboom;06/06/2017;before;165;15;13;4;N;N
Platboom;06/06/2017;before;245;20;19;10;N;N
Platboom;06/06/2017;before;310;22;13;8;Y;Y
Platboom;06/06/2017;before;246;22;14;7;Y;Y
Platboom;06/06/2017;before;393;20;12;18;N;N
Platboom;06/06/2017;before;87;11;13;3;Y;N
Platboom;06/06/2017;before;250;23;19;16;N;N
Platboom;06/06/2017;before;143;52;12;10;Y;Y
Platboom;06/06/2017;before;129;23;14;13;Y;Y
Platboom;06/06/2017;before;750;21;12;7;Y;Y
Platboom;06/06/2017;before;260;29;18;15;N;N
Platboom;06/06/2017;before;185;7;10;4;N;N
Platboom;09/09/2017;after;570;21;14;7;N;N
Platboom;09/09/2017;after;620;15;17;6;Y;N
Platboom;09/09/2017;after;160;32;16;20;N;N
Platboom;09/09/2017;after;625;21;14;4;Y;Y
Platboom;09/09/2017;after;54;6;28;3;Y;Y
Platboom;09/09/2017;after;550;20;18;7;Y;Y
Platboom;09/09/2017;after;555;7;17;3;Y;N
Platboom;09/09/2017;after;888;13;14;6;N;N
Platboom;09/09/2017;after;240;9;15;14;Y;N
Platboom;09/09/2017;after;375;9;16;4;Y;N
Platboom;09/09/2017;after;93;9;28;7;Y;N
Platboom;09/09/2017;after;160;29;16;13;N;N
Platboom;09/09/2017;after;1125;11;15;5;N;N
Platboom;09/09/2017;after;300;28;28;25;N;N
Platboom;09/09/2017;after;250;26;26;24;N;N
Platboom;09/09/2017;after;500;11;17;4;N;N
Platboom;09/09/2017;after;380;27;19;10;N;N
Platboom;09/09/2017;after;505;28;16;9;N;N
Platboom;09/09/2017;after;136;19;13;8;Y;Y
Platboom;09/09/2017;after;130;18;13;7;Y;Y
Platboom;09/09/2017;after;142;17;14;6;Y;Y
Platboom;09/09/2017;after;135;18;14;8;Y;Y
Platboom;09/09/2017;after;94;7;61;6;Y;N
Platboom;09/09/2017;after;770;20;15;11;Y;N
Platboom;09/09/2017;after;280;22;17;7;Y;N
Platboom;09/09/2017;after;725;18;19;12;Y;N
Platboom;09/09/2017;after;350;25;16;16;Y;N
Platboom;09/09/2017;after;120;10;29;5;Y;N
Platboom;09/09/2017;after;250;6;23;3;Y;N
Platboom;09/09/2017;after;71;27;13;10;N;N
Platboom;09/09/2017;after;410;39;30;29;N;N
Platboom;09/09/2017;after;340;9;10;3;N;N
Platboom;09/09/2017;after;750;35;34;24;N;N
Platboom;09/09/2017;after;400;17;15;12;N;N
Platboom;09/09/2017;after;875;44;26;21;N;N
Platboom;09/09/2017;after;360;12;11;5;N;N
Platboom;09/09/2017;after;850;33;19;16;Y;Y
Platboom;09/09/2017;after;110;9;16;3;Y;Y
Platboom;09/09/2017;after;250;7;29;3;Y;N
Platboom;09/09/2017;after;300;8;27;3;Y;N
Platboom;09/09/2017;after;440;6;35;2.5;Y;N
Platboom;09/09/2017;after;250;28;20;17;N;N
Platboom;09/09/2017;after;625;18;15;3;N;N
Platboom;09/09/2017;after;475;8;16;4;Y;N
Platboom;09/09/2017;after;1125;26;20;14;Y;Y
Platboom;09/09/2017;after;1100;34;20;18;N;N
Platboom;09/09/2017;after;875;27;28;24;N;N
Platboom;09/09/2017;after;250;34;19;12;Y;N
Platboom;09/09/2017;after;550;8;14;4;Y;N
Platboom;09/09/2017;after;370;24;19;13;Y;N
Platboom;09/09/2017;after;290;10;10;5;Y;Y
Longbeach;06/06/2017;before;355;34;16;20;N;N
Longbeach;06/06/2017;before;600;36;18;20;N;N
Longbeach;06/06/2017;before;294;30;16;12;N;N
Longbeach;06/06/2017;before;390;35;15;12;N;N
Longbeach;06/06/2017;before;210;13;22;8;N;N
Longbeach;06/06/2017;before;405;33;11;21;N;N
Longbeach;06/06/2017;before;705;13;18;22;Y;Y
Longbeach;06/06/2017;before;720;12;22;19;Y;Y
Longbeach;06/06/2017;before;375;13;14;5;Y;N
Longbeach;06/06/2017;before;215;14;18;7;N;N
Longbeach;06/06/2017;before;682;15;18;24;N;N
Longbeach;09/09/2017;after;160;33;22;17;N;N
Longbeach;09/09/2017;after;390;40;18;14;N;N
Longbeach;09/09/2017;after;540;22;19;11;Y;N
Longbeach;09/09/2017;after;480;24;17;9;Y;N
Longbeach;09/09/2017;after;620;21;16;8;Y;N
Longbeach;09/09/2017;after;215;16;6;6;Y;N
Longbeach;09/09/2017;after;655;32;0;14;N;N
Longbeach;09/09/2017;after;108;30;20;14;N;N
Longbeach;09/09/2017;after;375;36;17;12;N;N
Longbeach;09/09/2017;after;625;36;20;15;Y;N
Longbeach;09/09/2017;after;660;34;21;27;Y;Y
Longbeach;09/09/2017;after;500;32;14;5;Y;Y
Longbeach;09/09/2017;after;404;11;27;5;Y;Y
Longbeach;09/09/2017;after;750;3;14;4;Y;Y
Longbeach;09/09/2017;after;750;35;23;12;Y;Y
Longbeach;09/09/2017;after;640;30;20;16;Y;Y
Longbeach;09/09/2017;after;450;17;19;7;Y;Y
Longbeach;09/09/2017;after;620;11;15;4.5;Y;Y
Longbeach;09/09/2017;after;650;19;15;6;Y;Y
Longbeach;09/09/2017;after;400;32;10;14;Y;N
Longbeach;09/09/2017;after;250;7;24;4;Y;N
Longbeach;09/09/2017;after;750;39;21;16;N;N
Longbeach;09/09/2017;after;535;35;17;13;Y;Y
Longbeach;09/09/2017;after;520;27;16;8;Y;Y
Longbeach;09/09/2017;after;47;9;47;5;Y;N
Longbeach;09/09/2017;after;410;34;16;12;Y;N
Longbeach;09/09/2017;after;635;38;16;18;Y;N
Longbeach;09/09/2017;after;250;12;28;5;N;N
Longbeach;09/09/2017;after;220;22;16;8;Y;Y
Longbeach;09/09/2017;after;250;19;16;7;Y;Y
Longbeach;09/09/2017;after;190;8;23;4;N;N
Longbeach;09/09/2017;after;740;25;20;11;Y;Y
Longbeach;09/09/2017;after;69;7;27;3;Y;Y
Longbeach;09/09/2017;after;40;6;29;4;Y;Y
Longbeach;09/09/2017;after;675;38;28;14;Y;N
Longbeach;09/09/2017;after;620;34;23;12;N;N
Longbeach;09/09/2017;after;780;15;25;8;Y;N
Longbeach;09/09/2017;after;625;22;17;6;N;N
Longbeach;09/09/2017;after;180;12;21;5;Y;N
Longbeach;09/09/2017;after;161;8;22;4;N;N
Longbeach;09/09/2017;after;284;138;19;16;Y;N
Longbeach;09/09/2017;after;625;32;18;13;Y;N
Longbeach;09/09/2017;after;500;32;21;14;N;N
Longbeach;09/09/2017;after;106;7;82;9;Y;N
Longbeach;09/09/2017;after;425;12;17;12;Y;N
Longbeach;09/09/2017;after;50;7;49;5;Y;N
Longbeach;09/09/2017;after;426;15;25;8;Y;N
Longbeach;09/09/2017;after;375;33;21;18;Y;N
Longbeach;09/09/2017;after;80;7;39;5;Y;N
Longbeach;09/09/2017;after;510;7;23;7;Y;Y
Longbeach;09/09/2017;after;527;46;25;20;Y;Y
Noordehoek;06/06/2017;before;425;15;20;12;Y;N
Noordehoek;06/06/2017;before;175;12;17;8;N;N
Noordehoek;06/06/2017;before;375;17;16;7;Y;N
Noordehoek;06/06/2017;before;78;20;20;8;Y;Y
Noordehoek;06/06/2017;before;85;11;20;7;Y;Y
Noordehoek;06/06/2017;before;558;38;18;21;Y;Y
Noordehoek;06/06/2017;after;112;22;14;9;Y;N
Noordehoek;06/06/2017;after;750;29;24;18;N;N
Noordehoek;06/06/2017;after;375;30;20;12;N;N
Noordehoek;06/06/2017;after;250;24;29;33;Y;N
Noordehoek;06/06/2017;after;754;25;28;30;Y;Y
Noordehoek;06/06/2017;after;104;10;11;6;N;N
Noordehoek;06/06/2017;after;134;23;15;10;Y;N
Noordehoek;06/06/2017;after;626;29;28;20;N;N
Noordehoek;06/06/2017;after;725;21;15;10;Y;N
Noordehoek;06/06/2017;after;725;38;23;16;Y;N
Noordehoek;06/06/2017;after;975;22;17;10;Y;N
Noordehoek;06/06/2017;after;640;33;17;11;N;N
Noordehoek;06/06/2017;after;224;13;13;7;Y;Y
Noordehoek;06/06/2017;after;700;28;22;15;Y;N
Noordehoek;06/06/2017;after;1080;40;22;18;N;N
Noordehoek;06/06/2017;after;625;22;17;10;N;N
Noordehoek;06/06/2017;after;635;34;22;15;N;N
Noordehoek;06/06/2017;after;500;11;15;5;Y;N
Noordehoek;06/06/2017;after;1050;34;17;12;N;N
Noordehoek;06/06/2017;after;755;35;25;17;Y;N
Noordehoek;06/06/2017;after;137;10;16;4;Y;N
Noordehoek;06/06/2017;after;750;36;17;22;Y;N
Noordehoek;06/06/2017;after;625;28;28;13;N;N
Noordehoek;06/06/2017;after;895;34;19;17;Y;N
Noordehoek;06/06/2017;after;625;37;27;19;N;N
Noordehoek;06/06/2017;after;875;18;10;20;Y;Y
Noordehoek;06/06/2017;after;725;29;25;8;N;N
Noordehoek;06/06/2017;after;221;11;14;6;Y;N
Noordehoek;06/06/2017;after;626;19;15;20;N;N
Noordehoek;06/06/2017;after;187;12;17;8;N;N
Noordehoek;06/06/2017;after;167;7;19;4;Y;N
Noordehoek;06/06/2017;after;162;5;17;3;Y;Y
Noordehoek;06/06/2017;after;143;11;10;4;Y;N
Noordehoek;06/06/2017;after;125;7;27;4;Y;Y
Noordehoek;06/06/2017;after;178;8;22;5;Y;Y
Noordehoek;06/06/2017;after;620;15;17;5;N;N
Noordehoek;06/06/2017;after;625;33;23;17;N;N
Noordehoek;06/06/2017;after;114;11;17;6;Y;Y
Noordehoek;06/06/2017;after;120;10;15;4;Y;Y
Noordehoek;06/06/2017;after;122;12;16;4;Y;Y
Noordehoek;06/06/2017;after;500;34;28;20;Y;N
Noordehoek;06/06/2017;after;150;12;17;6;Y;N
Noordehoek;06/06/2017;after;875;34;18;11;N;N
Noordehoek;06/06/2017;after;120;10;11;5;Y;Y
Noordehoek;06/06/2017;after;19;6;83;6;Y;Y
Noordehoek;06/06/2017;after;124;10;12;5;Y;Y
Noordehoek;06/06/2017;after;153;11;45;4;Y;N
Noordehoek;06/06/2017;after;500;14;18;8;Y;N
Noordehoek;06/06/2017;after;800;29;25;20;N;N
Noordehoek;06/06/2017;after;840;24;26;22;N;N
